fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.493,0.00137,0.01234,0.95099,0.001,4.86136,0.55454,5.14112,0.33648,3.11691,0.0036,0.46259,0.44986,0.00385,0.06759,0.72961,0.00135,0.00011,0.01041,0.43108,0.00354,0.96893,0.00099,0.00234,0.00442,9
0.46093,0.00099,0.01172,0.87961,0.00097,3.80427,0.68896,7.63507,0.18704,0.95055,0.00908,0.9,0.47028,0.0006,0.17972,0.57939,0.0025,4e-05,0.00871,0.61638,0.00397,0.8224,0.00092,0.00238,0.00591,10
0.44091,0.00186,0.01004,0.96398,0.00083,4.3753,0.67551,4.99331,0.19984,1.77326,0.00919,0.76558,0.43042,0.00236,0.05768,0.72637,0.0015,8e-05,0.00914,0.69249,0.00251,1.0,0.00101,0.00413,0.00207,5
0.46467,0.0004,0.01091,0.93253,0.00089,4.76014,0.63825,9.87007,0.21857,2.85743,0.0048,0.63455,0.47819,0.00236,0.10665,0.64533,0.00192,8e-05,0.00797,0.37993,0.00393,0.97515,0.00095,0.00291,0.00508,7
0.47289,0.00136,0.01,0.92755,0.00062,5.0,0.65198,7.22716,0.3876,1.56653,0.01154,0.50681,0.57461,0.00052,0.04401,0.64238,0.00178,0.0001,0.01031,0.59881,0.00687,0.88788,0.00109,0.00285,0.00434,10
0.45139,0.00146,0.01,0.82309,0.001,4.04841,0.65959,5.36325,0.454,1.97403,0.01205,0.85008,0.46939,0.00166,0.11167,0.67759,0.00101,0.00012,0.00932,0.50587,0.00513,0.99156,0.00124,0.00114,0.00576,7
0.45483,0.00085,0.01023,0.85577,0.001,4.90987,0.50473,9.39389,0.27409,2.90404,0.00703,0.53948,0.40848,0.0048,0.1205,0.63292,0.00076,0.00011,0.01003,0.38408,0.00486,0.95205,0.00103,0.00195,0.00455,7
0.48674,0.0021,0.01783,0.97339,0.00084,4.80312,0.72556,7.45258,0.36812,2.43076,0.00544,0.9,0.43613,0.00706,0.04235,0.62205,0.0018,0.00014,0.01162,0.47752,0.00893,1.0,0.00095,0.00156,0.00358,9
0.43659,0.00265,0.013,0.96321,0.00076,3.79828,0.42472,6.85893,0.18756,4.29579,0.00432,0.45915,0.54797,0.00268,0.04338,0.68203,0.0023,0.00019,0.00431,0.37119,0.0079,0.67559,0.00069,0.0028,0.0026,8
0.46176,0.00122,0.01262,0.95986,0.00087,5.0,0.68381,5.07706,0.33416,3.60404,0.01515,0.42763,0.54911,0.00463,0.11043,0.72414,0.00088,0.00015,0.01068,0.39879,0.00576,0.90214,0.00094,0.00544,0.00233,7
0.4798,0.00042,0.01,0.90576,0.001,4.24146,0.54477,8.3853,0.26936,2.62005,0.0078,0.9,0.39617,0.00557,0.09634,0.62668,0.00139,8e-05,0.00855,0.49651,0.00513,1.0,0.00096,0.00231,0.00387,8
0.42302,0.0014,0.01263,0.94115,0.001,5.0,0.57869,7.46362,0.25684,3.38793,0.00875,0.67795,0.35777,0.00168,0.10926,0.49226,0.00112,8e-05,0.00844,0.62163,0.00658,1.0,0.00091,0.00221,0.00253,8
0.42632,0.00274,0.01,0.94627,0.001,5.0,0.63944,8.52458,0.42859,1.63071,0.01091,0.65434,0.39973,0.00565,0.14715,0.52098,0.00126,9e-05,0.00531,0.37853,0.00679,0.82414,0.00084,0.002,0.00501,8
0.48597,0.0017,0.01469,0.86799,0.001,4.64453,0.91397,8.35022,0.54339,3.04589,0.00585,0.36686,0.368,0.00123,0.14873,0.50944,0.00242,3e-05,0.00699,0.4056,0.00613,1.0,0.00078,0.00329,0.00365,7
0.44767,0.00227,0.01215,0.9273,0.001,3.59887,0.68489,8.69203,0.26726,2.30384,0.00997,0.2371,0.59542,0.00301,0.12078,0.73615,0.00102,0.00013,0.00872,0.43378,0.00693,0.879,0.00089,0.00297,0.00414,7
0.48332,0.00179,0.01,0.90996,0.001,4.64259,0.51968,6.76538,0.50049,2.30767,0.00464,0.59557,0.45957,0.00318,0.048,0.86018,0.00263,8e-05,0.00758,0.55014,0.00736,0.89584,0.00096,0.00344,0.00462,9
0.45681,0.0005,0.0214,0.95362,0.001,4.79749,0.75221,9.09982,0.45139,1.73399,0.00701,0.66343,0.66452,0.00381,0.03689,0.68575,0.00097,3e-05,0.00776,0.42714,0.00399,0.94198,0.00075,0.00355,0.00611,7
