epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,3309.63,1.31628,1.07137,0.01863,0.62674,0.68003,0.67118,0.40282,1.62457,1.21783,0.03117,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,3340.75,1.29859,1.05222,0.01838,0.6957,0.71737,0.74993,0.41512,1.71705,1.11337,0.03405,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,3371.46,1.27925,1.04377,0.01829,0.76325,0.63923,0.75311,0.45909,1.60946,1.06679,0.03047,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,3401.61,1.28621,1.01892,0.01824,0.72729,0.7358,0.77963,0.40507,1.75741,0.95081,0.03402,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,3432.54,1.27258,0.98886,0.01773,0.64434,0.73907,0.72208,0.36861,1.73618,1.25494,0.03558,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,3463.82,1.27856,1.02029,0.01851,0.82731,0.60247,0.74276,0.36104,1.79983,1.08247,0.03805,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,3495.54,1.27206,1.01453,0.01795,0.66638,0.79628,0.7494,0.41817,1.72183,1.04827,0.0333,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,3527.16,1.27263,1.01096,0.0179,0.67728,0.64947,0.71346,0.38516,1.86943,0.96766,0.03776,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,3557.99,1.27902,1.02332,0.01819,0.70569,0.80784,0.8132,0.42928,1.81485,1.03591,0.03665,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,3588.88,1.26996,1.00548,0.0184,0.75304,0.73599,0.75754,0.41813,1.69601,1.12615,0.03385,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,3621.79,1.28684,1.01998,0.01787,0.71714,0.741,0.75881,0.41013,1.62846,1.20584,0.03031,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,3652.79,1.27203,0.98723,0.01787,0.56101,0.61437,0.60961,0.359,1.64094,1.50224,0.03327,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,3683.93,1.25323,0.98786,0.01751,0.72467,0.80302,0.79886,0.43301,1.64039,1.09738,0.03296,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,3715.27,1.29309,1.03225,0.01839,0.70761,0.79255,0.81682,0.43607,1.65488,1.1455,0.03241,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,3746.86,1.26265,1.02679,0.01785,0.80141,0.73063,0.78775,0.42757,1.66433,1.107,0.03327,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,3779.07,1.25731,1.0077,0.01767,0.76362,0.75465,0.78296,0.41992,1.62812,1.31946,0.03234,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,3809.99,1.25403,0.98805,0.01781,0.64725,0.73015,0.74774,0.40159,1.63268,1.24116,0.03289,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,3842.01,1.2416,1.00872,0.01755,0.6288,0.62444,0.68861,0.36565,1.66093,1.40168,0.0333,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,3873,1.25607,0.99107,0.01788,0.75863,0.75263,0.78246,0.41527,1.6412,1.04151,0.03092,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
